Name of application;Domains;Website;Where it works;TRL level;Disease;Link AppStore;Link Google Play;Icon App Link;Description
Instant Heart Rate;Cardiovascular Health;https://www.instantheartrate.com/;Web, Android  & iOS;9;Cardio;https://apps.apple.com/us/app/instant-heart-rate-hr-monitor/id409625068;https://play.google.com/store/apps/details?id=si.modula.android.instantheartrate&hl=en;https://play-lh.googleusercontent.com/NnmvgHsO6G2crYFDv7zZ0yQ9Ik2YUGt7c8ZchSNMtvYdGkAqE3I4hQsczBqwwllciw=w240-h480-rw;Instant Heart Rate is a simple app that uses your phone's camera to measure heart rate. While it doesn't offer a full set of features, it is useful for quick and easy heart rate monitoring.
7 Cups;Mental Health and Emotional Support;https://www.7cups.com/;Web, Android & iOS;9;Mental Health;https://apps.apple.com/us/app/7-cups-online-therapy-chat/id921814681;https://play.google.com/store/apps/details?id=com.sevencupsoftea.app&hl=en_US;https://play-lh.googleusercontent.com/vtkK69J_JMkUcDweuZJfDLdapkmdqnnp5h2-PCv4u2iNY9oCEk-C3sSERBpf-RZ4-xI=w240-h480-rw;It provides emotional support through trained volunteers and access to professional counselors. Features: Anonymous chat with trained listeners, access to professional counselors, support communities.
8fit;Health and Fitness;https://8fit.com/;Web, Android & iOS;9;Prevention;https://play.google.com/store/apps/details?id=com.eightfit.app&hl=en_US;https://apps.apple.com/us/app/8fit-workouts-meal-planner/id866617777;https://play-lh.googleusercontent.com/dyJyF3MfJqgzuDJPjm-bwQiDavJRV-3Gt96AWvxDNXLfhZUiZJaTcmp-14Mk9xM_CQ=w240-h480-rw;It offers workout and nutrition plans for a healthy lifestyle.
AbleTo;Support;https://member.ableto.com/mental-health-support/?utm_source=sanvello;Web, Android & iOS;TRL 9;Mental Health;https://apps.apple.com/us/app/ableto/id1065052030;https://play.google.com/store/apps/details?id=com.joyable.joyableApp;https://play-lh.googleusercontent.com/rfmLgculRXR_qfWLn0gvsEc1tPfJusSTJfKjnW-fUUQwx1klhXbXLd6PEyrOEsbvgf_H=w240-h480-rw;AbleTo is a virtual behavioral health company that provides therapy and coaching services aimed at improving mental and physical health.
ACS CARES;Resurces, Education and Support;https://www.cancer.org/support-programs-and-services/acs-cares.html;Web, Android & iOS;TRL 8;Cancer;ACS CARES on the App Store;ACS CARES - Apps on Google Play;https://play-lh.googleusercontent.com/JmYfjSjZdx3Hqbc-hehdMCHz_Aj1kqjgIT63uL3an1FyCmnEHKYItS7OUNauQvSRyi0=w240-h480-rw;ACS CARES (Cancer Assessment, Research, and Evaluation System) is a platform supporting cancer patients, healthcare providers and researchers. The system provides tools for assessing cancer symptoms, tracking treatment outcomes, and conducting research to improve cancer care.
Ada Health;medical guide;https://ada.com/ro/app/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/ro/app/ada-verific%C4%83-%C8%9Bi-s%C4%83n%C4%83tatea/id1099986434?l=ro;https://play.google.com/store/apps/details?id=com.ada.app;https://play-lh.googleusercontent.com/RIDwiGirZqKSob0OdN8MPnFl8r_UJo8WPB083v3tw9I7O99N9lKIsl9F4quLENlgrbw=w240-h480-rw;No matter what's bothering you, from aches, migraines or allergies, Ada's free symptom checker can help you find answers.
Aetna;manage health benefits;https://www.aetna.com/individuals-families/using-your-aetna-benefits/aetna-mobile.html;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/aetna-health/id1261033071;https://play.google.com/store/apps/details?id=com.aetna.aetnahealth;https://play-lh.googleusercontent.com/yz4nfXGtxkK-1MjQt5CsuktN_kNYQvXeQUmc2oPesCGF0ljYoF8uP-SZCr8Z6f_Fb8s=w240-h480-rw;The Aetna Health app helps you stay on top of your health. All when and where it works best for you, 24/7.
AliveCor;diagnostic;https://www.alivecor.com/;Web, Android & iOS;TRL 9;Cardio;https://apps.apple.com/us/developer/alivecor-inc/id546535893;https://play.google.com/store/apps/details?id=com.alivecor.aliveecg&hl=en_US;https://play-lh.googleusercontent.com/WYIp8_w9gWcg_cnDiCWX_WgVxTp9w6ZrEkCVUxN-EBQOYVOcnsXtJ5c7Sipwd8bqv8g=w240-h480-rw;The Kardia app is designed to make managing heart care from home easier than ever, giving you the ability to seamlessly record EKGs, share heart data with your doctor remotely, keep track of your health history, and more.
AMJ Wellness;wellness tips, tricks, stress relief techniques, and statistics;https://www.tekrevol.com/case-studies/amj-wellness;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/ww-workplace-wellness/id1568732986;https://play.google.com/store/apps/details?id=com.app.workplacewellness;https://play-lh.googleusercontent.com/HkLRxotdUQKXCs0cGnZ6iOljnv-4kc-KZWMDDQtTK2XlhTeWDWUa5XwiXk5zVJuCQhp3=w240-h480-rw;Workplace Wellness is a holistic wellness application for the enterprise. Employers can offer their employees a cost-effective app that helps with physical, mental and social health.
Amwell;Doctor Visits;https://business.amwell.com/;Web, Android & iOS;around TRL 9;Prevention;https://apps.apple.com/us/app/amwell-doctor-visits-24-7/id655783752;-;https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/a3/04/e5/a304e56d-1b1d-ddf9-df06-12ed83ebc5f2/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.png/246x0w.webp;Amwell is the best way to see a doctor from home or on-the-go. Our telehealth app connects you to board-certified, experienced medical providers.
Apple Health;monitoring sleep, food, activity, symthoms, heart rate & respiration;-;iOS;TRL 9;Cardio;https://www.apple.com/ios/health/;-;https://is1-ssl.mzstatic.com/image/thumb/Purple126/v4/2c/f2/65/2cf26599-45d2-1b5c-cea0-6b0bef3c0667/AppIcon-0-0-1x_U007epad-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/246x0w.webp;Get helpful new insights in mental and vision health.
Beat Diabetes;Manage and prevent diabetes;https://beatdiabetesapp.in/;Web & iOS;TRL 9;Diabet;https://apps.apple.com/us/app/beat-diabetes/id1512798412 ;-;https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/8b/b0/8b/8bb08b36-d2fe-d5f6-4d4a-0f23d2b29464/AppIcon-1x_U007emarketing-0-7-85-220.png/230x0w.webp;It is an application designed to help individuals manage and prevent diabetes through tracking tools, educational resources, and personalized insights. The app focuses on promoting healthy lifestyle choices, such as proper nutrition, regular physical activity, and medication adherence.
Belong: Beating Cancer Together;Cancer Care, with a Focus on Community Support and Patient Education;https://cancer.belong.life/;Web, Android & iOS;8;Cancer;https://apps.apple.com/gb/app/belong-beating-cancer-together/id1026738945;https://play.google.com/store/apps/details?id=com.belongtail.belong&hl=en;https://play-lh.googleusercontent.com/QQIffRDbxzEdqnWmzpAdGuDUu8obO8aBJEWoHXzu60l9ng3Z-FUvnbcKDmHPlhAArNx8=w240-h480-rw;It provides support and resources for cancer patients and their families.
BetterHelp;Mental Health, with a Focus on Online Therapy and Counseling;https://www.betterhelp.com/;Web, Android & iOS;9;Mental Health;https://apps.apple.com/us/app/betterhelp-therapy/id995252384;https://play.google.com/store/apps/details?id=com.betterhelp&hl=en_US;https://play-lh.googleusercontent.com/vkuckCZpasMeQNGhnbzFCnwBi5TRY39O96zMG6d_aSmxLAXzrHxvfjOFNXnqZBha8Ds=w240-h480-rw;It provides access to online therapy with professional counselors.
BetterMe: Mental Health;Mental Health;https://betterme.world/product/meditation;Web, Android & iOS;TRL 8;Mental Health;BetterMe: Mental Health on the App Store;BetterMe: Mental Health - Apps on Google Play;https://play-lh.googleusercontent.com/tp4TcuVsZ8k-0h0tbqDKx4sGhsHHO1-gErs4P4rTSMdCJPUr7E8UB2tddfHRbB51vw=w240-h480-rw;BetterMe: Mental Health offers guided exercises, mood tracking, and self-improvement tools. It aims to enhance emotional well-being with features like mental health assessments, relaxation techniques, and educational content.
Big Health;Mental Health, Digital Therapeutics;https://www.bighealth.com/;Web;8;Mental Health;-;-;https://cdn.prod.website-files.com/659879cae2df32d85f9472e1/659cb59f5d18debbb1e7bc8f_bighealthlogo-removebg-preview%20(1)-p-500.png;Big Health offers digital therapeutic programs like Sleepio and Daylight to manage insomnia and anxiety.
